Gene stable ID,Gene name,Crab-eating macaque gene stable ID,Crab-eating macaque gene name,Crab-eating macaque homology type,Crab-eating macaque orthology confidence
ENSMUSG00000042372,Dmrt3,ENSMFAG00000045391,DMRT3,ortholog_one2one,1.0
ENSMUSG00000048138,Dmrt2,ENSMFAG00000040812,DMRT2,ortholog_one2one,1.0
ENSMUSG00000025078,Nhlrc2,ENSMFAG00000038268,NHLRC2,ortholog_one2one,1.0
ENSMUSG00000000420,Galnt1,ENSMFAG00000002844,GALNT1,ortholog_one2one,1.0
ENSMUSG00000035173,Ccdc186,ENSMFAG00000031702,CCDC186,ortholog_one2one,1.0
ENSMUSG00000024273,2700062C07Rik,ENSMFAG00000040105,C18orf21,ortholog_one2one,1.0
ENSMUSG00000024855,Pacs1,ENSMFAG00000001271,PACS1,ortholog_one2one,1.0
ENSMUSG00000040446,Rprd1a,ENSMFAG00000000125,RPRD1A,ortholog_one2one,1.0
ENSMUSG00000024619,Cdx1,ENSMFAG00000053823,CDX1,ortholog_one2one,1.0
ENSMUSG00000024622,Hmgxb3,ENSMFAG00000041979,HMGXB3,ortholog_one2one,1.0
ENSMUSG00000024853,Sf3b2,ENSMFAG00000003064,SF3B2,ortholog_one2one,1.0
ENSMUSG00000034320,Slc26a2,ENSMFAG00000042946,SLC26A2,ortholog_one2one,1.0
ENSMUSG00000024575,Pde6a,ENSMFAG00000039234,PDE6A,ortholog_one2one,1.0
ENSMUSG00000024269,Tpgs2,ENSMFAG00000003229,TPGS2,ortholog_one2one,1.0
ENSMUSG00000033871,Ppargc1b,ENSMFAG00000042269,PPARGC1B,ortholog_one2one,1.0
ENSMUSG00000025081,Tdrd1,ENSMFAG00000043487,TDRD1,ortholog_one2one,1.0
ENSMUSG00000024268,Celf4,ENSMFAG00000042983,CELF4,ortholog_one2one,1.0
ENSMUSG00000091212,Krtap11-1,ENSMFAG00000060023,KRTAP11-1,ortholog_one2one,1.0
ENSMUSG00000044117,Bmerb1,ENSMFAG00000005809,BMERB1,ortholog_one2one,1.0
ENSMUSG00000020607,Lratd1,ENSMFAG00000027588,LRATD1,ortholog_one2one,1.0
ENSMUSG00000022827,Rabl3,ENSMFAG00000031923,RABL3,ortholog_one2one,1.0
ENSMUSG00000020601,Trib2,ENSMFAG00000042686,TRIB2,ortholog_one2one,1.0
ENSMUSG00000071235,Vrtn,ENSMFAG00000011666,VRTN,ortholog_one2one,1.0
ENSMUSG00000022821,Hgd,ENSMFAG00000041993,HGD,ortholog_one2one,1.0
ENSMUSG00000071234,Syndig1l,ENSMFAG00000039919,SYNDIG1L,ortholog_one2one,1.0
ENSMUSG00000024844,Banf1,ENSMFAG00000049457,BANF1,ortholog_one2one,1.0
ENSMUSG00000033628,Pik3c3,ENSMFAG00000003777,PIK3C3,ortholog_one2one,1.0
ENSMUSG00000035142,Nubpl,ENSMFAG00000038751,NUBPL,ortholog_one2one,1.0
ENSMUSG00000024841,Eif1ad,ENSMFAG00000038170,EIF1AD,ortholog_one2one,1.0
ENSMUSG00000022820,Ndufb4,ENSMFAG00000038344,NDUFB4,ortholog_one2one,1.0
ENSMUSG00000025082,Vwa2,ENSMFAG00000022092,VWA2,ortholog_one2one,1.0
ENSMUSG00000060657,Marf1,ENSMFAG00000001485,MARF1,ortholog_one2one,1.0
ENSMUSG00000021242,Npc2,ENSMFAG00000035734,NPC2,ortholog_one2one,1.0
ENSMUSG00000021241,Isca2,ENSMFAG00000049400,ISCA2,ortholog_one2one,1.0
ENSMUSG00000035133,Arhgap5,ENSMFAG00000000350,ARHGAP5,ortholog_one2one,1.0
ENSMUSG00000039148,Sart1,ENSMFAG00000002484,SART1,ortholog_one2one,1.0
ENSMUSG00000022816,Fstl1,ENSMFAG00000036133,FSTL1,ortholog_one2one,1.0
ENSMUSG00000061603,Akap6,ENSMFAG00000040818,AKAP6,ortholog_one2one,1.0
ENSMUSG00000034158,Lrrc58,ENSMFAG00000003454,LRRC58,ortholog_one2one,1.0
ENSMUSG00000046961,Gpr156,ENSMFAG00000000407,GPR156,ortholog_one2one,1.0
ENSMUSG00000022812,Gsk3b,ENSMFAG00000002620,GSK3B,ortholog_one2one,1.0
ENSMUSG00000024914,Drap1,ENSMFAG00000035458,DRAP1,ortholog_one2one,1.0
ENSMUSG00000021010,Npas3,ENSMFAG00000043431,NPAS3,ortholog_one2one,1.0
ENSMUSG00000057455,Rit2,ENSMFAG00000044648,RIT2,ortholog_one2one,1.0
ENSMUSG00000024578,Il17b,ENSMFAG00000030082,IL17B,ortholog_one2one,1.0
ENSMUSG00000024579,Pcyox1l,ENSMFAG00000039773,PCYOX1L,ortholog_one2one,1.0
ENSMUSG00000035105,Egln3,ENSMFAG00000036942,EGLN3,ortholog_one2one,1.0
ENSMUSG00000024580,Grpel2,ENSMFAG00000044538,GRPEL2,ortholog_one2one,1.0
ENSMUSG00000047423,AI837181,ENSMFAG00000035547,C11orf68,ortholog_one2one,1.0
ENSMUSG00000022678,Nde1,ENSMFAG00000000424,NDE1,ortholog_one2one,1.0
ENSMUSG00000002020,Ltbp2,ENSMFAG00000039527,LTBP2,ortholog_one2one,1.0
ENSMUSG00000033032,Afap1l1,ENSMFAG00000044334,AFAP1L1,ortholog_one2one,1.0
ENSMUSG00000024912,Fosl1,ENSMFAG00000045562,FOSL1,ortholog_one2one,1.0
ENSMUSG00000045629,Sh3tc2,ENSMFAG00000001106,SH3TC2,ortholog_one2one,1.0
ENSMUSG00000024911,Fibp,ENSMFAG00000046229,FIBP,ortholog_one2one,1.0
ENSMUSG00000045730,Adrb2,ENSMFAG00000021322,ADRB2,ortholog_one2one,1.0
ENSMUSG00000024400,Wdr33,ENSMFAG00000005367,WDR33,ortholog_one2one,1.0
ENSMUSG00000024910,Ctsw,ENSMFAG00000002290,CTSW,ortholog_one2one,1.0
ENSMUSG00000041817,Fam169a,ENSMFAG00000001548,FAM169A,ortholog_one2one,1.0
ENSMUSG00000022982,Sod1,ENSMFAG00000041240,SOD1,ortholog_one2one,1.0
ENSMUSG00000026322,Htr4,ENSMFAG00000043212,HTR4,ortholog_one2one,1.0
ENSMUSG00000022983,Scaf4,ENSMFAG00000037668,SCAF4,ortholog_one2one,1.0
ENSMUSG00000024909,Efemp2,ENSMFAG00000033077,EFEMP2,ortholog_one2one,1.0
ENSMUSG00000042350,Arel1,ENSMFAG00000034133,AREL1,ortholog_one2one,1.0
ENSMUSG00000021359,Tfap2a,ENSMFAG00000039760,TFAP2A,ortholog_one2one,1.0
ENSMUSG00000024395,Lims2,ENSMFAG00000000950,LIMS2,ortholog_one2one,1.0
ENSMUSG00000052229,Gpr17,ENSMFAG00000036834,GPR17,ortholog_one2one,1.0
ENSMUSG00000053414,Hunk,ENSMFAG00000043007,HUNK,ortholog_one2one,1.0
ENSMUSG00000041138,Nme8,ENSMFAG00000024520,NME8,ortholog_one2one,1.0
ENSMUSG00000024906,Mus81,ENSMFAG00000035399,MUS81,ortholog_one2one,1.0
ENSMUSG00000022978,Mis18a,ENSMFAG00000033702,MIS18A,ortholog_one2one,1.0
ENSMUSG00000024384,Iws1,ENSMFAG00000016975,IWS1,ortholog_one2one,1.0
ENSMUSG00000039929,Urb1,ENSMFAG00000034391,URB1,ortholog_one2one,1.0
ENSMUSG00000056185,Snx32,ENSMFAG00000003675,SNX32,ortholog_one2one,1.0
ENSMUSG00000053101,Gpr141,ENSMFAG00000061539,GPR141,ortholog_one2one,1.0
ENSMUSG00000024922,Ovol1,ENSMFAG00000056656,OVOL1,ortholog_one2one,1.0
ENSMUSG00000021270,Hsp90aa1,ENSMFAG00000037140,HSP90AA1,ortholog_one2one,1.0
ENSMUSG00000018830,Myh11,ENSMFAG00000036773,MYH11,ortholog_one2one,1.0
ENSMUSG00000049562,Ap5b1,ENSMFAG00000031665,AP5B1,ortholog_one2one,1.0
ENSMUSG00000024383,Map3k2,ENSMFAG00000037837,MAP3K2,ortholog_one2one,1.0
ENSMUSG00000024925,Rnaseh2c,ENSMFAG00000038096,RNASEH2C,ortholog_one2one,1.0
ENSMUSG00000024382,Ercc3,ENSMFAG00000003370,ERCC3,ortholog_one2one,1.0
ENSMUSG00000021666,Gfm2,ENSMFAG00000039713,GFM2,ortholog_one2one,1.0
ENSMUSG00000020593,Lpin1,ENSMFAG00000035872,LPIN1,ortholog_one2one,1.0
ENSMUSG00000038128,Camk4,ENSMFAG00000036872,CAMK4,ortholog_one2one,1.0
ENSMUSG00000024378,Stard4,ENSMFAG00000030560,STARD4,ortholog_one2one,1.0
ENSMUSG00000022677,Cep20,ENSMFAG00000000648,CEP20,ortholog_one2one,1.0
ENSMUSG00000039903,Eva1c,ENSMFAG00000034125,EVA1C,ortholog_one2one,1.0
ENSMUSG00000024376,Epb41l4a,ENSMFAG00000000281,EPB41L4A,ortholog_one2one,1.0
ENSMUSG00000022972,Cfap298,ENSMFAG00000037088,CFAP298,ortholog_one2one,1.0
ENSMUSG00000021665,Hexb,ENSMFAG00000003959,HEXB,ortholog_one2one,1.0
ENSMUSG00000022790,Igsf11,ENSMFAG00000029911,IGSF11,ortholog_one2one,1.0
ENSMUSG00000020591,Ntsr2,ENSMFAG00000043071,NTSR2,ortholog_one2one,1.0
ENSMUSG00000021366,Hivep1,ENSMFAG00000032343,HIVEP1,ortholog_one2one,1.0
ENSMUSG00000021244,Ylpm1,ENSMFAG00000034471,YLPM1,ortholog_one2one,1.0
ENSMUSG00000021367,Edn1,ENSMFAG00000038328,EDN1,ortholog_one2one,1.0
ENSMUSG00000022973,Synj1,ENSMFAG00000018883,SYNJ1,ortholog_one2one,1.0
ENSMUSG00000056380,Gpr50,ENSMFAG00000034411,GPR50,ortholog_one2one,1.0
ENSMUSG00000021662,Arhgef28,ENSMFAG00000043970,ARHGEF28,ortholog_one2one,1.0
ENSMUSG00000056458,Mok,ENSMFAG00000002346,MOK,ortholog_one2one,1.0
ENSMUSG00000068114,Ccdc134,ENSMFAG00000031727,CCDC134,ortholog_one2one,1.0
ENSMUSG00000022155,Mroh2b,ENSMFAG00000045823,MROH2B,ortholog_one2one,1.0
ENSMUSG00000041380,Htr2c,ENSMFAG00000064910,HTR2C,ortholog_one2one,1.0
ENSMUSG00000009575,Cbx5,ENSMFAG00000003762,CBX5,ortholog_one2one,1.0
ENSMUSG00000021276,Cinp,ENSMFAG00000038439,CINP,ortholog_one2one,1.0
ENSMUSG00000079105,C7,ENSMFAG00000003261,C7,ortholog_one2one,1.0
ENSMUSG00000056537,Rlim,ENSMFAG00000063132,RLIM,ortholog_one2one,1.0
ENSMUSG00000022974,Paxbp1,ENSMFAG00000002885,PAXBP1,ortholog_one2one,1.0
ENSMUSG00000050697,Prkaa1,ENSMFAG00000036296,PRKAA1,ortholog_one2one,1.0
ENSMUSG00000005871,Apc,ENSMFAG00000041277,APC,ortholog_one2one,1.0
ENSMUSG00000004789,Dlst,ENSMFAG00000030177,DLST,ortholog_one2one,1.0
ENSMUSG00000065450,Mir448,ENSMFAG00000008804,MIR448,ortholog_one2one,1.0
ENSMUSG00000022463,Srebf2,ENSMFAG00000043421,SREBF2,ortholog_one2one,1.0
ENSMUSG00000024926,Kat5,ENSMFAG00000001136,KAT5,ortholog_one2one,1.0
ENSMUSG00000033361,Prrg3,ENSMFAG00000040208,PRRG3,ortholog_one2one,1.0
ENSMUSG00000039851,Epcip,ENSMFAG00000036953,EPCIP,ortholog_one2one,1.0
ENSMUSG00000022708,Zbtb20,ENSMFAG00000046230,ZBTB20,ortholog_one2one,1.0
ENSMUSG00000022369,Mtbp,ENSMFAG00000030284,MTBP,ortholog_one2one,1.0
ENSMUSG00000005864,Cnga2,ENSMFAG00000001182,CNGA2,ortholog_one2one,1.0
ENSMUSG00000054728,Phactr1,ENSMFAG00000039842,PHACTR1,ortholog_one2one,1.0
ENSMUSG00000031333,Abcb7,ENSMFAG00000041203,ABCB7,ortholog_one2one,1.0
ENSMUSG00000005873,Reep5,ENSMFAG00000032842,REEP5,ortholog_one2one,1.0
ENSMUSG00000073016,Uprt,ENSMFAG00000049237,UPRT,ortholog_one2one,1.0
ENSMUSG00000024927,Rela,ENSMFAG00000033297,RELA,ortholog_one2one,1.0
ENSMUSG00000033906,Zdhhc15,ENSMFAG00000041334,ZDHHC15,ortholog_one2one,1.0
ENSMUSG00000096883,Shisa8,ENSMFAG00000050220,SHISA8,ortholog_one2one,1.0
ENSMUSG00000060429,Sntb1,ENSMFAG00000031454,SNTB1,ortholog_one2one,1.0
ENSMUSG00000031343,Gabra3,ENSMFAG00000003816,GABRA3,ortholog_one2one,1.0
ENSMUSG00000021022,Ppp2r3c,ENSMFAG00000033038,PPP2R3C,ortholog_one2one,1.0
ENSMUSG00000024924,Vldlr,ENSMFAG00000032374,VLDLR,ortholog_one2one,1.0
ENSMUSG00000019235,Rps6kl1,ENSMFAG00000037597,RPS6KL1,ortholog_one2one,1.0
ENSMUSG00000021938,Pspc1,ENSMFAG00000032728,PSPC1,ortholog_one2one,1.0
ENSMUSG00000004791,Pgf,ENSMFAG00000044494,PGF,ortholog_one2one,1.0
ENSMUSG00000022367,Has2,ENSMFAG00000051883,HAS2,ortholog_one2one,1.0
ENSMUSG00000046434,Hnrnpa1,ENSMFAG00000031561,HNRNPA1,ortholog_one2one,1.0
ENSMUSG00000021275,Tecpr2,ENSMFAG00000033854,TECPR2,ortholog_one2one,1.0
ENSMUSG00000021368,Tbc1d7,ENSMFAG00000040608,TBC1D7,ortholog_one2one,1.0
ENSMUSG00000055639,Dach1,ENSMFAG00000032114,DACH1,ortholog_one2one,1.0
ENSMUSG00000012282,Wnt8a,ENSMFAG00000045242,WNT8A,ortholog_one2one,1.0
ENSMUSG00000035984,Nme5,ENSMFAG00000038119,NME5,ortholog_one2one,1.0
ENSMUSG00000004788,Eif2b2,ENSMFAG00000043749,EIF2B2,ortholog_one2one,1.0
ENSMUSG00000040560,Wdr7,ENSMFAG00000033483,WDR7,ortholog_one2one,1.0
ENSMUSG00000051335,Gfod1,ENSMFAG00000003241,GFOD1,ortholog_one2one,1.0
ENSMUSG00000039942,Ptger4,ENSMFAG00000040505,PTGER4,ortholog_one2one,1.0
ENSMUSG00000040123,Zmym5,ENSMFAG00000054215,ZMYM5,ortholog_one2one,1.0
ENSMUSG00000022705,Drd3,ENSMFAG00000037060,DRD3,ortholog_one2one,1.0
ENSMUSG00000021023,Prorp,ENSMFAG00000001453,PRORP,ortholog_one2one,1.0
ENSMUSG00000037572,Wdhd1,ENSMFAG00000032915,WDHD1,ortholog_one2one,1.0
ENSMUSG00000031226,Pbdc1,ENSMFAG00000039912,PBDC1,ortholog_one2one,1.0
ENSMUSG00000058794,Nfe2,ENSMFAG00000044203,NFE2,ortholog_one2one,1.0
ENSMUSG00000040929,Rfx3,ENSMFAG00000000237,RFX3,ortholog_one2one,1.0
ENSMUSG00000054021,Sirt5,ENSMFAG00000000178,SIRT5,ortholog_one2one,1.0
ENSMUSG00000021245,Mlh3,ENSMFAG00000043843,MLH3,ortholog_one2one,1.0
ENSMUSG00000068101,Cenpm,ENSMFAG00000042414,CENPM,ortholog_one2one,1.0
ENSMUSG00000031230,Fgf16,ENSMFAG00000044477,FGF16,ortholog_one2one,1.0
ENSMUSG00000022792,Yars2,ENSMFAG00000032763,YARS2,ortholog_one2one,1.0
ENSMUSG00000071757,Zhx2,ENSMFAG00000043785,ZHX2,ortholog_one2one,1.0
ENSMUSG00000048379,Socs4,ENSMFAG00000056239,SOCS4,ortholog_one2one,1.0
ENSMUSG00000068099,Smim45,ENSMFAG00000064531,SMIM45,ortholog_one2one,1.0
ENSMUSG00000045064,Zc2hc1c,ENSMFAG00000013902,ZC2HC1C,ortholog_one2one,1.0
ENSMUSG00000022365,Derl1,ENSMFAG00000044615,DERL1,ortholog_one2one,1.0
ENSMUSG00000036304,Zdhhc23,ENSMFAG00000040621,ZDHHC23,ortholog_one2one,1.0
ENSMUSG00000031229,Atrx,ENSMFAG00000031719,ATRX,ortholog_one2one,1.0
ENSMUSG00000034290,Nek9,ENSMFAG00000037572,NEK9,ortholog_one2one,1.0
ENSMUSG00000021945,Zmym2,ENSMFAG00000031877,ZMYM2,ortholog_one2one,1.0
ENSMUSG00000060992,Copz1,ENSMFAG00000045686,COPZ1,ortholog_one2one,1.0
ENSMUSG00000063200,Nol7,ENSMFAG00000017762,NOL7,ortholog_one2one,1.0
ENSMUSG00000056812,St8sia3,ENSMFAG00000032690,ST8SIA3,ortholog_one2one,1.0
ENSMUSG00000021248,Tmed10,ENSMFAG00000031081,TMED10,ortholog_one2one,1.0
ENSMUSG00000000552,Zfp385a,ENSMFAG00000042192,ZNF385A,ortholog_one2one,1.0
ENSMUSG00000025085,Ablim1,ENSMFAG00000046222,ABLIM1,ortholog_one2one,1.0
ENSMUSG00000021250,Fos,ENSMFAG00000014606,FOS,ortholog_one2one,1.0
ENSMUSG00000045991,Onecut2,ENSMFAG00000032509,ONECUT2,ortholog_one2one,1.0
ENSMUSG00000021532,Fastkd3,ENSMFAG00000040312,FASTKD3,ortholog_one2one,1.0
ENSMUSG00000050335,Lgals3,ENSMFAG00000055901,LGALS3,ortholog_one2one,1.0
ENSMUSG00000034271,Jdp2,ENSMFAG00000033637,JDP2,ortholog_one2one,1.0
ENSMUSG00000003778,Brd8,ENSMFAG00000039211,BRD8,ortholog_one2one,1.0
ENSMUSG00000022965,Ifngr2,ENSMFAG00000001717,IFNGR2,ortholog_one2one,1.0
ENSMUSG00000034266,Batf,ENSMFAG00000031172,BATF,ortholog_one2one,1.0
ENSMUSG00000034258,Flvcr2,ENSMFAG00000039606,FLVCR2,ortholog_one2one,1.0
ENSMUSG00000022064,Pibf1,ENSMFAG00000039458,PIBF1,ortholog_one2one,1.0
ENSMUSG00000021252,Erg28,ENSMFAG00000000605,ERG28,ortholog_one2one,1.0
ENSMUSG00000036292,Gramd1c,ENSMFAG00000032955,GRAMD1C,ortholog_one2one,1.0
ENSMUSG00000061458,Nol10,ENSMFAG00000041289,NOL10,ortholog_one2one,1.0
ENSMUSG00000021534,Cfap90,ENSMFAG00000036254,CFAP90,ortholog_one2one,1.0
ENSMUSG00000000555,Itga5,ENSMFAG00000036877,ITGA5,ortholog_one2one,1.0
ENSMUSG00000007817,Zmiz1,ENSMFAG00000043959,ZMIZ1,ortholog_one2one,1.0
ENSMUSG00000021536,Adcy2,ENSMFAG00000001655,ADCY2,ortholog_one2one,1.0
ENSMUSG00000039763,Dnajc28,ENSMFAG00000030067,DNAJC28,ortholog_one2one,1.0
ENSMUSG00000031232,Magt1,ENSMFAG00000031612,MAGT1,ortholog_one2one,1.0
ENSMUSG00000064427,Gm22748,ENSMFAG00000012750,SNORA80B,ortholog_one2one,1.0
ENSMUSG00000038546,Ranbp9,ENSMFAG00000032796,RANBP9,ortholog_one2one,1.0
ENSMUSG00000024588,Fech,ENSMFAG00000016324,FECH,ortholog_one2one,1.0
ENSMUSG00000072294,Klf12,ENSMFAG00000002684,KLF12,ortholog_one2one,1.0
ENSMUSG00000031231,Cox7b,ENSMFAG00000002971,COX7B,ortholog_one2one,1.0
ENSMUSG00000025269,Apex2,ENSMFAG00000002486,APEX2,ortholog_one2one,1.0
ENSMUSG00000022455,Wbp2nl,ENSMFAG00000034650,WBP2NL,ortholog_one2one,1.0
ENSMUSG00000044164,Rnf182,ENSMFAG00000015266,RNF182,ortholog_one2one,1.0
ENSMUSG00000037544,Dlgap5,ENSMFAG00000035988,DLGAP5,ortholog_one2one,1.0
ENSMUSG00000015396,Cd83,ENSMFAG00000030839,CD83,ortholog_one2one,1.0
ENSMUSG00000022789,Dnm1l,ENSMFAG00000006058,DNM1L,ortholog_one2one,1.0
ENSMUSG00000022453,Naga,ENSMFAG00000002492,NAGA,ortholog_one2one,1.0
ENSMUSG00000049792,Bag5,ENSMFAG00000046271,BAG5,ortholog_one2one,1.0
ENSMUSG00000037787,Coa8,ENSMFAG00000040670,COA8,ortholog_one2one,1.0
ENSMUSG00000003779,Kif20a,ENSMFAG00000039764,KIF20A,ortholog_one2one,1.0
ENSMUSG00000006611,Hfe,ENSMFAG00000000799,HFE,ortholog_one2one,1.0
ENSMUSG00000025270,Alas2,ENSMFAG00000003452,ALAS2,ortholog_one2one,1.0
ENSMUSG00000021028,Mbip,ENSMFAG00000043899,MBIP,ortholog_one2one,1.0
ENSMUSG00000049687,Pheta2,ENSMFAG00000057151,PHETA2,ortholog_one2one,1.0
ENSMUSG00000036181,H1f2,ENSMFAG00000065801,H1-2,ortholog_one2one,1.0
ENSMUSG00000022452,Smdt1,ENSMFAG00000044573,SMDT1,ortholog_one2one,1.0
ENSMUSG00000001496,Nkx2-1,ENSMFAG00000046342,NKX2-1,ortholog_one2one,1.0
ENSMUSG00000058669,Nkx2-9,ENSMFAG00000057996,NKX2-8,ortholog_one2one,1.0
ENSMUSG00000001497,Pax9,ENSMFAG00000004012,PAX9,ortholog_one2one,1.0
ENSMUSG00000009470,Tnpo1,ENSMFAG00000003636,TNPO1,ortholog_one2one,1.0
ENSMUSG00000022487,Gtsf1,ENSMFAG00000041178,GTSF1,ortholog_one2one,1.0
ENSMUSG00000024370,Cdc23,ENSMFAG00000002420,CDC23,ortholog_one2one,1.0
ENSMUSG00000033792,Atp7a,ENSMFAG00000037371,ATP7A,ortholog_one2one,1.0
ENSMUSG00000033083,Tbc1d4,ENSMFAG00000045534,TBC1D4,ortholog_one2one,1.0
ENSMUSG00000022698,Naa50,ENSMFAG00000041301,NAA50,ortholog_one2one,1.0
ENSMUSG00000022450,Ndufa6,ENSMFAG00000039783,NDUFA6,ortholog_one2one,1.0
ENSMUSG00000024587,Nars1,ENSMFAG00000032255,NARS1,ortholog_one2one,1.0
ENSMUSG00000068284,Usf3,ENSMFAG00000032462,USF3,ortholog_one2one,1.0
ENSMUSG00000049539,H1f1,ENSMFAG00000063622,H1-1,ortholog_one2one,1.0
ENSMUSG00000050919,Zfp366,ENSMFAG00000001780,ZNF366,ortholog_one2one,1.0
ENSMUSG00000047242,Taf9b,ENSMFAG00000045420,TAF9B,ortholog_one2one,1.0
ENSMUSG00000022962,Gart,ENSMFAG00000037958,GART,ortholog_one2one,1.0
ENSMUSG00000021650,Ptcd2,ENSMFAG00000031516,PTCD2,ortholog_one2one,1.0
