gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000037843,Vstm2l,V-set and transmembrane domain containing 2-like,NCBIGene:277432,
ENSMUSG00000021536,Adcy2,adenylate cyclase 2,NCBIGene:210044,
ENSMUSG00000078307,AI593442,expressed sequence AI593442,NCBIGene:330941,
ENSMUSG00000074736,Syndig1,synapse differentiation inducing 1,NCBIGene:433485,
ENSMUSG00000036510,Cdh8,cadherin 8,NCBIGene:12564,
ENSMUSG00000035681,Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2",NCBIGene:268345,
ENSMUSG00000040452,Cdh12,cadherin 12,NCBIGene:215654,
ENSMUSG00000043531,Sorcs1,sortilin-related VPS10 domain containing receptor 1,NCBIGene:58178,
ENSMUSG00000032537,Ephb1,Eph receptor B1,NCBIGene:270190,
ENSMUSG00000066687,Zbtb16,zinc finger and BTB domain containing 16,NCBIGene:235320,
ENSMUSG00000021057,Akap5,A kinase (PRKA) anchor protein 5,NCBIGene:238276,
ENSMUSG00000022425,Enpp2,ectonucleotide pyrophosphatase/phosphodiesterase 2,NCBIGene:18606,
ENSMUSG00000027827,Kcnab1,"potassium voltage-gated channel, shaker-related subfamily, beta member 1",NCBIGene:16497,
ENSMUSG00000055540,Epha6,Eph receptor A6,NCBIGene:13840,
ENSMUSG00000023805,Synj2,synaptojanin 2,NCBIGene:20975,
ENSMUSG00000059248,Sept9,septin 9,NCBIGene:53860,
ENSMUSG00000039488,Cntn5,contactin 5,NCBIGene:244682,
ENSMUSG00000026527,Rgs7,regulator of G protein signaling 7,NCBIGene:24012,
ENSMUSG00000034656,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",NCBIGene:12286,
ENSMUSG00000021219,Rgs6,regulator of G-protein signaling 6,NCBIGene:50779,
ENSMUSG00000022296,Baalc,"brain and acute leukemia, cytoplasmic",NCBIGene:118452,
ENSMUSG00000036800,Fam135b,"family with sequence similarity 135, member B",NCBIGene:70363,
ENSMUSG00000034353,Ramp1,receptor (calcitonin) activity modifying protein 1,NCBIGene:51801,
ENSMUSG00000041708,Mpped1,metallophosphoesterase domain containing 1,NCBIGene:223726,
ENSMUSG00000039037,St6galnac5,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",NCBIGene:26938,
ENSMUSG00000001911,Nfix,nuclear factor I/X,NCBIGene:18032,
ENSMUSG00000034488,Edil3,EGF-like repeats and discoidin I-like domains 3,NCBIGene:13612,
ENSMUSG00000079056,Kcnip3,"Kv channel interacting protein 3, calsenilin",NCBIGene:56461,
ENSMUSG00000037736,Limch1,LIM and calponin homology domains 1,NCBIGene:77569,
ENSMUSG00000036377,C530008M17Rik,RIKEN cDNA C530008M17 gene,NCBIGene:320827,
ENSMUSG00000020027,Socs2,suppressor of cytokine signaling 2,NCBIGene:216233,
ENSMUSG00000054162,Spock3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3",NCBIGene:72902,
ENSMUSG00000022861,Dgkg,"diacylglycerol kinase, gamma",NCBIGene:110197,
ENSMUSG00000027200,Sema6d,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D",NCBIGene:214968,
ENSMUSG00000015882,Lcorl,ligand dependent nuclear receptor corepressor-like,NCBIGene:209707,
ENSMUSG00000051726,Kcnf1,"potassium voltage-gated channel, subfamily F, member 1",NCBIGene:382571,
ENSMUSG00000048482,Bdnf,brain derived neurotrophic factor,NCBIGene:12064,
ENSMUSG00000061143,Maml3,mastermind like transcriptional coactivator 3,NCBIGene:433586,
ENSMUSG00000033174,Mgll,monoglyceride lipase,NCBIGene:23945,
ENSMUSG00000022602,Arc,activity regulated cytoskeletal-associated protein,NCBIGene:11838,
ENSMUSG00000003974,Grm3,"glutamate receptor, metabotropic 3",NCBIGene:108069,
ENSMUSG00000026514,Cnih3,cornichon family AMPA receptor auxiliary protein 3,NCBIGene:72978,
ENSMUSG00000085007,Gm11549,predicted gene 11549,NCBIGene:100503068,
ENSMUSG00000028883,Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A",NCBIGene:20346,
ENSMUSG00000070348,Ccnd1,cyclin D1,NCBIGene:12443,
ENSMUSG00000034997,Htr2a,5-hydroxytryptamine (serotonin) receptor 2A,NCBIGene:15558,
ENSMUSG00000031561,Tenm3,teneurin transmembrane protein 3,NCBIGene:23965,
ENSMUSG00000040430,Pitpnc1,"phosphatidylinositol transfer protein, cytoplasmic 1",NCBIGene:71795,
ENSMUSG00000006800,Sulf2,sulfatase 2,NCBIGene:72043,
ENSMUSG00000090125,Pou3f1,"POU domain, class 3, transcription factor 1",NCBIGene:18991,
ENSMUSG00000078591,Hs3st4,heparan sulfate (glucosamine) 3-O-sulfotransferase 4,NCBIGene:628779,
ENSMUSG00000067578,Cbln4,cerebellin 4 precursor protein,NCBIGene:228942,
ENSMUSG00000037307,Banf2,barrier to autointegration factor 2,NCBIGene:403171,
ENSMUSG00000021587,Pcsk1,proprotein convertase subtilisin/kexin type 1,NCBIGene:18548,
ENSMUSG00000045875,Adra1a,"adrenergic receptor, alpha 1a",NCBIGene:11549,
ENSMUSG00000076498,Trbc2,"T cell receptor beta, constant 2",NCBIGene:100125263,
ENSMUSG00000060703,Cd302,CD302 antigen,NCBIGene:66205,
ENSMUSG00000053414,Hunk,hormonally upregulated Neu-associated kinase,NCBIGene:26559,
ENSMUSG00000033032,Afap1l1,actin filament associated protein 1-like 1,NCBIGene:106877,
ENSMUSG00000039943,Plcb4,"phospholipase C, beta 4",NCBIGene:18798,
ENSMUSG00000035355,Kcnh4,"potassium voltage-gated channel, subfamily H (eag-related), member 4",NCBIGene:380728,
ENSMUSG00000098760,Gm2164,predicted gene 2164,,
ENSMUSG00000025812,Pard3,par-3 family cell polarity regulator,NCBIGene:93742,
ENSMUSG00000029608,Rph3a,rabphilin 3A,NCBIGene:19894,
ENSMUSG00000026872,Zeb2,zinc finger E-box binding homeobox 2,NCBIGene:24136,
ENSMUSG00000030772,Dkk3,dickkopf WNT signaling pathway inhibitor 3,NCBIGene:50781,
ENSMUSG00000047414,Flrt2,fibronectin leucine rich transmembrane protein 2,NCBIGene:399558,
ENSMUSG00000037279,Ovol2,ovo like zinc finger 2,NCBIGene:107586,
ENSMUSG00000113216,Gm40841,"predicted gene, 40841",,
ENSMUSG00000036356,Csgalnact1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,NCBIGene:234356,
ENSMUSG00000006586,Runx1t1,RUNX1 translocation partner 1,NCBIGene:12395,
ENSMUSG00000070644,Etnk2,ethanolamine kinase 2,NCBIGene:214253,
ENSMUSG00000021852,Slc35f4,"solute carrier family 35, member F4",NCBIGene:75288,
ENSMUSG00000044288,Cnr1,cannabinoid receptor 1 (brain),NCBIGene:12801,
ENSMUSG00000038679,Trps1,transcriptional repressor GATA binding 1,NCBIGene:83925,
ENSMUSG00000039153,Runx2,runt related transcription factor 2,NCBIGene:12393,
ENSMUSG00000050271,Prag1,PEAK1 related kinase activating pseudokinase 1,NCBIGene:244418,
ENSMUSG00000022799,Arhgap31,Rho GTPase activating protein 31,NCBIGene:12549,
ENSMUSG00000078958,Atp6ap1l,"ATPase, H+ transporting, lysosomal accessory protein 1-like",NCBIGene:435376,
ENSMUSG00000074575,Kcng1,"potassium voltage-gated channel, subfamily G, member 1",NCBIGene:241794,
ENSMUSG00000030551,Nr2f2,"nuclear receptor subfamily 2, group F, member 2",NCBIGene:11819,
ENSMUSG00000034810,Scn7a,"sodium channel, voltage-gated, type VII, alpha",NCBIGene:20272,
ENSMUSG00000033633,Clec18a,"C-type lectin domain family 18, member A",NCBIGene:353287,
ENSMUSG00000031490,Eif4ebp1,eukaryotic translation initiation factor 4E binding protein 1,NCBIGene:13685,
ENSMUSG00000032087,Dscaml1,DS cell adhesion molecule like 1,NCBIGene:114873,
ENSMUSG00000063531,Sema3e,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E",NCBIGene:20349,
ENSMUSG00000024176,Sox8,SRY (sex determining region Y)-box 8,NCBIGene:20681,
ENSMUSG00000039116,Adgrg6,adhesion G protein-coupled receptor G6,NCBIGene:215798,
ENSMUSG00000020651,Slc26a4,"solute carrier family 26, member 4",NCBIGene:23985,
ENSMUSG00000039621,Prex1,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1",NCBIGene:277360,
ENSMUSG00000040972,Igsf21,"immunoglobulin superfamily, member 21",NCBIGene:230868,
ENSMUSG00000046523,Kctd4,potassium channel tetramerisation domain containing 4,NCBIGene:67516,
ENSMUSG00000026463,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",NCBIGene:381290,
ENSMUSG00000019978,Epb41l2,erythrocyte membrane protein band 4.1 like 2,NCBIGene:13822,
ENSMUSG00000117254,Gm34567,"predicted gene, 34567",NCBIGene:102637865,
ENSMUSG00000039706,Ldb2,LIM domain binding 2,NCBIGene:16826,
ENSMUSG00000055026,Gabrg3,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3",NCBIGene:14407,
ENSMUSG00000074923,Pak6,p21 (RAC1) activated kinase 6,NCBIGene:214230,
ENSMUSG00000117604,Gm33228,"predicted gene, 33228",,
ENSMUSG00000114469,C730002L08Rik,RIKEN cDNA C730002L08 gene,NCBIGene:320155,
ENSMUSG00000041120,Nbl1,"NBL1, DAN family BMP antagonist",NCBIGene:17965,
ENSMUSG00000034040,Galnt17,polypeptide N-acetylgalactosaminyltransferase 17,NCBIGene:212996,
ENSMUSG00000015981,Stk32c,serine/threonine kinase 32C,NCBIGene:57740,
ENSMUSG00000008575,Nfib,nuclear factor I/B,NCBIGene:18028,
ENSMUSG00000036095,Dgkb,"diacylglycerol kinase, beta",NCBIGene:217480,
ENSMUSG00000044216,Kcnj4,"potassium inwardly-rectifying channel, subfamily J, member 4",NCBIGene:16520,
ENSMUSG00000021360,Gcnt2,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme",NCBIGene:14538,
ENSMUSG00000033350,Chst2,carbohydrate sulfotransferase 2,NCBIGene:54371,
ENSMUSG00000021765,Fst,follistatin,NCBIGene:14313,
ENSMUSG00000033207,Mamdc2,MAM domain containing 2,NCBIGene:71738,
ENSMUSG00000045318,Adra2c,"adrenergic receptor, alpha 2c",NCBIGene:11553,
ENSMUSG00000032487,Ptgs2,prostaglandin-endoperoxide synthase 2,NCBIGene:19225,
ENSMUSG00000024008,Cpne5,copine V,NCBIGene:240058,
ENSMUSG00000030077,Chl1,cell adhesion molecule L1-like,NCBIGene:12661,
ENSMUSG00000049281,Scn3b,"sodium channel, voltage-gated, type III, beta",NCBIGene:235281,
ENSMUSG00000059146,Ntrk3,"neurotrophic tyrosine kinase, receptor, type 3",NCBIGene:18213,
ENSMUSG00000055409,Nell1,NEL-like 1,NCBIGene:338352,
ENSMUSG00000029135,Fosl2,fos-like antigen 2,NCBIGene:14284,
ENSMUSG00000024064,Galnt14,polypeptide N-acetylgalactosaminyltransferase 14,NCBIGene:71685,
ENSMUSG00000016624,Phf21b,PHD finger protein 21B,NCBIGene:271305,
ENSMUSG00000059991,Nptx2,neuronal pentraxin 2,NCBIGene:53324,
ENSMUSG00000027111,Itga6,integrin alpha 6,NCBIGene:16403,
ENSMUSG00000034765,Dusp5,dual specificity phosphatase 5,NCBIGene:240672,
ENSMUSG00000041674,BC006965,cDNA sequence BC006965,NCBIGene:217294,
ENSMUSG00000056306,Sertm1,serine rich and transmembrane domain containing 1,NCBIGene:329641,
ENSMUSG00000020723,Cacng4,"calcium channel, voltage-dependent, gamma subunit 4",NCBIGene:54377,
ENSMUSG00000026437,Cdk18,cyclin-dependent kinase 18,NCBIGene:18557,
ENSMUSG00000000567,Sox9,SRY (sex determining region Y)-box 9,NCBIGene:20682,
ENSMUSG00000027577,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",NCBIGene:11438,
ENSMUSG00000066113,Adamtsl1,ADAMTS-like 1,NCBIGene:77739,
